,cancer type,gene,Article p_value,R p_value,Lorsi p_value,num of samples,better group survival,delta tested,max k changes with chosen alpha,max k changes to stay stable,max alpha to stay stable,p_value upper with max changes k,p_value upper on alpha 0.01,p_value upper one change,is greedy algo correct up to alpha,k changes to reach disagreement,p_value when disagreement,p_value greedy on alpha 0.01
0,Breast,CCL2,0.070051,0.195556,0.237667,1073,A,0.05,,,,,,,,,,
1,Breast,UNG,0.075958,0.406292,0.440502,1073,A,0.05,,,,,,,,,,
2,Breast,WASL,0.193319,0.360187,0.333448,1073,A,0.05,,,,,,,,,,
3,Breast,PIDD1,0.109111,0.055312,0.063884,1073,B,0.05,,,,,,,,,,
4,Breast,PLCG1,0.328367,0.331059,0.304601,1073,A,0.05,,,,,,,,,,
5,Breast,IDH3A,0.369009,0.093569,0.079307,1073,A,0.05,,,,,,,,,,
6,Breast,PDK3,0.008402,0.105369,0.079589,1073,B,0.05,,,,,,,,,,
7,Breast,PHKG1,0.001663,0.064367,0.072053,1073,A,0.05,,,,,,,,,,
8,Breast,LIG3,0.047734,0.264425,0.207734,1073,B,0.05,,,,,,,,,,
9,Breast,BCL2L1,0.286349,0.069046,0.086659,1073,B,0.05,,,,,,,,,,
10,Breast,KISS1,0.492185,0.662314,0.696391,1073,A,0.05,,,,,,,,,,
11,Breast,NME4,0.374278,0.280838,0.305543,1073,B,0.05,,,,,,,,,,
12,Breast,COX7A2L,0.351725,0.233421,0.260953,1073,B,0.05,,,,,,,,,,
13,Breast,COX8A,0.108458,0.273291,0.237121,1073,B,0.05,,,,,,,,,,
14,Breast,NTHL1,0.192603,0.169528,0.162606,1073,B,0.05,,,,,,,,,,
15,Breast,COX6B1,0.042277,0.035632,0.042551,1073,B,0.05,10.0,0.0,0.0,0.042551,0.7259504742228435,0.0543094195353747,True,,,0.72595
16,Breast,CXCL12,0.37976,0.071486,0.081129,1073,A,0.05,,,,,,,,,,
17,Breast,SLK,0.249976,0.065344,0.075204,1073,B,0.05,,,,,,,,,,
18,Breast,CTSL,0.16048,0.04396,0.056645,1073,A,0.05,,,,,,,,,,
19,Breast,TLN1,0.085626,0.268966,0.298038,1073,A,0.05,,,,,,,,,,
20,Breast,CCNB1,0.044417,0.153201,0.1694,1073,B,0.05,,,,,,,,,,
21,Breast,MAPK1,0.003852,0.093831,0.07538,1073,A,0.05,,,,,,,,,,
22,Breast,COX5A,0.128732,0.033122,0.038419,1073,B,0.05,10.0,1.0,0.0009,0.038419,0.844282741626227,0.0384193481182089,True,,,0.844283
23,Breast,NDUFA8,0.444458,0.094904,0.106317,1073,A,0.05,,,,,,,,,,
24,Breast,AIMP2,0.001876,0.020734,0.015681,1073,A,0.05,10.0,2.0,0.0019,0.038713,0.4939840933567878,0.0212136807351516,True,,,0.493984
25,Breast,MYH9,0.207229,0.201542,0.22642,1073,B,0.05,,,,,,,,,,
26,Breast,FHIT,0.005235,0.017579,0.022491,1073,B,0.05,10.0,1.0,0.0009,0.032308,0.5058535974515702,0.0323077730218168,True,,,0.505854
27,Breast,NDUFA11,0.230861,0.207317,0.227114,1073,B,0.05,,,,,,,,,,
28,Breast,CD82,0.070634,0.026582,0.032544,1073,B,0.05,10.0,1.0,0.0009,0.044012,0.6271818161972464,0.0440123001492706,True,,,0.627182
29,Breast,SDHC,0.015872,0.082297,0.075278,1073,B,0.05,,,,,,,,,,
30,Breast,HRAS,0.039653,0.046532,0.052922,1073,A,0.05,,,,,,,,,,
31,Breast,ARF6,0.247764,0.006704,0.004796,1073,B,0.05,10.0,4.0,0.0037,0.034354,0.2850576237003805,0.006800935562756,True,,,0.285058
32,Breast,DCLRE1C,0.194744,0.149905,0.136183,1073,A,0.05,,,,,,,,,,
33,Breast,PRKCA,0.311748,0.092248,0.103713,1073,A,0.05,,,,,,,,,,
34,Breast,NR4A3,0.001685,0.004447,0.002924,1073,A,0.05,10.0,5.0,0.0047,0.048861,0.2237857044517661,0.0039451163691306,True,,,0.223786
35,Breast,WIPF1,0.109563,0.433053,0.37067,1073,A,0.05,,,,,,,,,,
36,Breast,BCL2A1,0.016776,0.002256,0.001953,1073,B,0.05,10.0,6.0,0.0056,0.041462,0.1809675014412765,0.0033269706135296,True,,,0.180968
37,Breast,NDUFB9,0.015284,0.102616,0.116537,1073,A,0.05,,,,,,,,,,
38,Breast,BTG2,0.00189,0.063981,0.056753,1073,A,0.05,,,,,,,,,,
39,Breast,SUMO1,0.109189,0.005165,0.0063,1073,A,0.05,10.0,3.0,0.0028,0.048586,0.4799392459883282,0.0083687667738361,True,,,0.479939
40,Breast,GPI,0.122021,0.163758,0.143953,1073,A,0.05,,,,,,,,,,
41,Breast,CIB1,0.117464,0.086739,0.103462,1073,A,0.05,,,,,,,,,,
